Ranking,Nombre,Cantidad Máxima de tokens,Capitalización Total de Mercado,Precio,Volumen 24h
#1,Bitcoin,"21,000,000","$837,240,942,746","$42,745.14","$12,349,168,306"
#2,Ethereum,∞,"$277,658,405,520","$2,311.27","$9,206,103,360"
#3,Tether,∞,"$91,685,445,702",$0.999794,"$13,001,547,665"
#4,BNB,"200,000,000","$47,954,181,021",$311.57,"$755,674,515"
#5,Solana,∞,"$45,885,378,203",$106.56,"$1,999,117,194"
#6,XRP,"100,000,000,000","$33,604,365,799",$0.621145,"$693,792,711"
#7,USDC,∞,"$24,472,147,694",$0.999203,"$6,089,208,977"
#8,Lido Staked Ether,"9,212,242","$21,243,388,935","$2,306.25","$9,756,730"
#9,Cardano,"45,000,000,000","$21,159,458,770",$0.603844,"$390,504,901"
#10,Avalanche,"720,000,000","$14,612,495,573",$39.95,"$618,362,447"
#11,Dogecoin,∞,"$12,975,160,834",$0.091103,"$382,726,714"
#12,Polkadot,∞,"$10,960,482,969",$8.32,"$241,268,762"
#13,TRON,∞,"$9,444,579,140",$0.106987,"$389,281,024"
#14,Polygon,"10,000,000,000","$9,207,901,571",$0.991070,"$480,119,743"
#15,Chainlink,"1,000,000,000","$8,536,430,608",$15.32,"$336,206,770"
#16,Toncoin,∞,"$7,842,943,314",$2.27,"$25,407,075"
#17,Wrapped Bitcoin,"158,168","$6,766,042,415","$42,765.72","$125,014,414"
#18,Shiba Inu,"158,168","$6,203,896,773",$0.00001053,"$87,804,192"
#19,Internet Computer,∞,"$5,945,846,367",$13.14,"$571,469,112"
#20,Uniswap,"1,000,000,000","$5,610,703,797",$7.47,"$210,992,699"
#21,Litecoin,"84,000,000","$5,442,625,816",$73.64,"$436,687,550"
#22,Dai,∞,"$5,252,433,884",$0.999658,"$252,430,613"
#23,Bitcoin Cash,"21,000,000","$5,167,324,664",$263.34,"$224,825,014"
#24,Cosmos Hub,∞,"$4,179,203,393",$10.96,"$210,710,177"
#25,Filecoin,"1,960,990,658","$3,811,612,483",$7.79,"$1,191,116,440"
#26,NEAR Protocol,∞,"$3,711,398,086",$3.67,"$235,327,764"
#27,Stellar,"50,001,787,059","$3,652,039,175",$0.129375,"$57,073,798"
#28,LEO Token,"50,001,787,059","$3,661,919,649",$3.95,"$1,332,996"
#29,Optimism,"4,294,967,296","$3,381,058,248",$3.71,"$363,479,709"
#30,OKB,"300,000,000","$3,307,987,901",$55.14,"$4,955,999"
#31,Injective,"300,000,000","$3,254,769,312",$38.60,"$177,053,469"
#32,Ethereum Classic,"210,700,000","$3,170,105,613",$22.15,"$126,978,859"
#33,Monero,"210,700,000","$3,012,480,727",$166.03,"$66,065,837"
#34,Aptos,∞,"$3,005,554,100",$9.77,"$97,242,524"
#35,Immutable,"2,000,000,000","$2,949,322,333",$2.23,"$71,147,464"
#36,Hedera,"50,000,000,000","$2,936,149,623",$0.087321,"$56,056,946"
#37,Cronos,"50,000,000,000","$2,597,668,628",$0.098215,"$8,349,635"
#38,VeChain,"86,712,634,466","$2,582,081,576",$0.03551758,"$58,731,952"
#39,Lido DAO,"1,000,000,000","$2,530,838,529",$2.84,"$59,369,181"
#40,Kaspa,"28,704,026,601","$2,484,291,477",$0.111679,"$18,552,066"
#41,TrueUSD,"28,704,026,601","$2,305,182,880",$0.998124,"$167,283,870"
#42,Stacks,"1,818,000,000","$2,119,606,154",$1.48,"$63,770,116"
#43,Quant,"14,612,493","$2,043,026,529",$140.40,"$27,438,218"
#44,Arbitrum,"10,000,000,000","$2,034,675,875",$1.60,"$469,691,934"
#46,Bitcoin SV,"21,000,000","$1,990,724,658",$101.15,"$155,577,041"
#45,Mantle,"6,219,316,794","$1,994,513,636",$0.635451,"$52,947,157"
#47,The Graph,"10,788,004,319","$1,895,330,504",$0.203838,"$124,164,308"
#49,MultiversX,"31,415,926","$1,854,606,862",$70.21,"$42,606,212"
#50,Algorand,"10,000,000,000","$1,856,739,143",$0.231354,"$56,171,115"
#48,Celestia,∞,"$1,886,481,767",$12.90,"$110,111,010"
#51,First Digital USD,∞,"$1,796,569,435",$0.997917,"$1,495,761,048"
#52,Render,"531,039,932","$1,755,904,838",$4.70,"$71,225,773"
#53,Aave,"16,000,000","$1,648,407,037",$112.11,"$157,325,050"
#54,ORDI,"16,000,000","$1,615,246,587",$76.89,"$381,456,600"
#55,THORChain,"500,000,000","$1,575,915,880",$5.24,"$246,558,537"
#56,Bittensor,"21,000,000","$1,569,166,449",$263.24,"$3,903,046"
#57,Sei,"21,000,000","$1,540,122,219",$0.672942,"$346,668,127"
#58,Maker,"1,005,577","$1,521,256,162","$1,653.52","$116,192,818"
#59,Mina Protocol,∞,"$1,507,012,488",$1.47,"$69,349,805"
#60,Rocket Pool ETH,∞,"$1,432,803,489","$2,545.04","$13,123,075"
#61,Fantom,"3,175,000,000","$1,397,932,399",$0.498704,"$111,702,988"
#62,Flow,"1,479,506,395","$1,384,843,176",$0.936349,"$39,407,962"
#64,Theta Network,"1,000,000,000","$1,289,025,097",$1.29,"$21,007,172"
#63,Synthetix Network,"328,193,104","$1,292,614,001",$3.94,"$39,556,187"
#65,The Sandbox,"3,000,000,000","$1,251,728,911",$0.591658,"$155,004,805"
#66,Axie Infinity,"270,000,000","$1,207,234,096",$8.96,"$57,040,615"
#67,BitTorrent,"990,000,000,000,000","$1,136,426,269",$0.00000117,"$39,080,356"
#68,Tokenize Xchange,"100,000,000","$1,059,290,043",$13.24,"$27,436,471"
#69,Helium,"223,000,000","$1,023,238,748",$7.11,"$7,637,635"
#70,BUSD,∞,"$1,010,791,429",$1.00,"$3,346,043,490"
#71,KuCoin,∞,"$1,005,411,682",$10.41,"$148,236"
#73,Decentraland,"2,193,179,327","$984,240,435",$0.534276,"$83,559,203"
#75,Kava,"2,193,179,327","$975,160,703",$0.901556,"$21,477,393"
#72,EOS,"2,193,179,327","$986,478,196",$0.870644,"$85,102,046"
#74,NEO,"2,193,179,327","$979,358,575",$13.91,"$61,007,215"
#77,Tezos,∞,"$971,603,396",$1.09,"$45,668,543"
#76,Osmosis,"1,000,000,000","$972,484,240",$1.53,"$19,330,978"
#78,GALA,"50,000,000,000","$959,959,710",$0.03131352,"$171,289,850"
#79,IOTA,"4,600,000,000","$941,824,556",$0.306013,"$22,645,617"
#80,WEMIX,∞,"$940,250,613",$2.67,"$6,892,490"
#81,Sui,"10,000,000,000","$912,534,184",$0.828694,"$115,328,773"
#82,PancakeSwap,"450,000,000","$882,497,148",$3.51,"$114,745,251"
#83,WhiteBIT Coin,"400,000,000","$838,144,111",$5.82,"$8,139,858"
#85,Cheelee,"1,000,000,000","$833,235,420",$15.41,"$6,451,913"
#84,Bitget Token,"2,000,000,000","$834,695,712",$0.596211,"$17,633,996"
#87,Beam,"62,615,056,183","$833,246,736",$0.01734643,"$15,873,041"
#85,Terra Luna Classic,∞,"$832,501,307",$0.00014246,"$44,543,237"
#88,Bonk,"100,000,000,000,000","$828,943,462",$0.00001363,"$79,701,944"
#89,Klaytn,"100,000,000,000,000","$822,122,633",$0.237792,"$57,011,738"
#90,dYdX,"1,000,000,000","$822,388,058",$3.05,"$89,611,418"
#91,XDC Network,"1,000,000,000","$810,639,764",$0.058279,"$3,165,648"
#92,WOO Network,"2,230,434,666","$765,483,815",$0.424870,"$34,509,973"
#94,Fetch.ai,"1,152,997,575","$750,772,564",$0.720141,"$72,851,177"
#93,Astar,∞,"$765,829,964",$0.141163,"$31,676,967"
#96,eCash,"21,000,000,000,000","$747,164,555",$0.00003811,"$11,938,848"
#95,Marinade staked SOL,"5,983,132","$748,881,162",$125.26,"$5,835,346"
#97,USDD,∞,"$712,925,191",$0.982627,"$11,613,019"
#98,Frax Ether,∞,"$706,306,694","$2,315.53","$2,092,163"
#100,Gate,∞,"$682,995,608",$5.01,"$1,117,307"
#99,Oasis Network,"10,000,000,000","$684,266,605",$0.137791,"$34,006,413"
